   0.000   0.000  -0.093   0.110   43.0
   0.331   0.325   0.108   0.297  100.5
   0.661   0.614   0.624   0.005   61.0
   0.992   0.837   0.828   0.067   32.0
   1.323   0.969   1.023   0.110   43.0
   1.653   0.997   0.924   0.199  100.5
   1.984   0.916   0.939   0.058   61.0
   2.315   0.736   0.659   0.225   32.0
   2.646   0.476   0.824   0.196   43.0
   2.976   0.165   0.013   0.059  100.5
   3.307  -0.165  -0.202   0.064   61.0
   3.638  -0.476  -0.568   0.264   32.0
   3.968  -0.736  -0.621   0.050   43.0
   4.299  -0.916  -0.887   0.092  100.5
   4.630  -0.997  -1.031   0.238   61.0
   4.960  -0.969  -0.966   0.003   32.0
   5.291  -0.837  -0.794   0.062   43.0
   5.622  -0.614  -0.341   0.268  100.5
   5.952  -0.325  -0.151   0.101   61.0
   6.283   0.000   0.004   0.019   32.0
